tag,mode,threshold,window,resolved,stop_frame,stop_time,stop_py,stop_tangent_vel,final_frame,final_time,final_py,final_tangent_vel,min_tangent_vel,max_tangent_vel
AR200_gap0.001_mu0.4_t16,sustained,1e-05,10,1,57000,5.7,-0.000237688,6.149102661868246e-06,2000000,200.0,-0.000303933,8.60099206594527e-08,7.417223434149884e-08,0.0693091
AR200_gap0.001_mu0.4_t17,sustained,1e-05,10,1,28800,2.8800000000000003,-0.00335072,7.111555394091037e-06,2000000,200.0,-0.0026803,9.835873803864592e-06,1.1407565012429814e-09,0.088577
AR200_gap0.001_mu0.4_t18,sustained,1e-05,10,1,25500,2.5500000000000003,-0.00104821,3.4573180904652296e-06,2000000,200.0,-0.0697462,2.3141655636732986e-07,4.33273330316065e-09,0.12007531833099491
AR200_gap0.001_mu0.4_t19,sustained,1e-05,10,1,31600,3.16,8.64044e-05,9.489239130043495e-06,2000000,200.0,0.000368302,5.7419730853790565e-06,1.44911430296761e-10,0.0153139
AR200_gap0.001_mu0.4_t2,sustained,1e-05,10,1,26100,2.6100000000000003,-0.000395452,5.682380879163563e-06,2000000,200.0,-0.00301926,1.7956821076995117e-05,4.877209786751692e-10,0.130311
AR200_gap0.001_mu0.4_t3,sustained,1e-05,10,1,162500,16.25,-0.00125245,8.545243927909796e-06,2000000,200.0,-0.000223613,0.00037730787066526526,4.3605433359112755e-09,0.0757752
AR200_gap0.001_mu0.4_t4,sustained,1e-05,10,1,107000,10.700000000000001,-0.991923,9.914756175803936e-06,2000000,200.0,-0.991923,2.4487576823508574e-07,4.1331444457960814e-10,30.93413157765624
AR200_gap0.001_mu0.4_t5,sustained,1e-05,10,1,37600,3.7600000000000002,0.000272133,2.160530013132747e-06,2000000,200.0,0.000446523,2.5069807598626074e-06,6.754472409591993e-10,0.00996436
AR200_gap0.001_mu0.4_t6,sustained,1e-05,10,1,27600,2.7600000000000002,-0.00121877,5.878089949941977e-06,2000000,200.0,-1.41079,1.0301275729226265,4.3227343723862175e-07,11.378052998858912
AR200_gap0.001_mu0.4_t7,sustained,1e-05,10,1,140300,14.030000000000001,-0.0469153,3.428007435626183e-06,2000000,200.0,-0.0469596,5.200404330579905e-07,4.473314099073623e-08,0.15126049369318734
AR200_gap0.001_mu0.4_t8,sustained,1e-05,10,0,2000000,200.0,-74.2431,0.6954484040852358,2000000,200.0,-74.2431,0.6954484040852358,6.049315755461107e-07,1886.7350891268047
AR200_gap0.001_mu0.4_t9,sustained,1e-05,10,1,261900,26.19,-0.00239664,6.921039965851829e-06,2000000,200.0,-0.00244517,1.6901315022209346e-06,3.056119505082274e-08,0.197186
AR200_gap0.001_mu1.0_t0,sustained,1e-05,10,1,21500,2.15,-0.00196991,5.73530636578123e-06,2000000,200.0,-0.00258836,1.4605284677037068e-06,2.4699836377850377e-11,0.142076
AR200_gap0.001_mu1.0_t1,sustained,1e-05,10,1,272100,27.21,-0.000669797,9.779853309919917e-06,2000000,200.0,0.00144386,3.0936141618664586e-05,4.0268673787663424e-07,0.03064
AR200_gap0.001_mu1.0_t10,sustained,1e-05,10,1,40500,4.05,0.000259486,9.531663092773177e-06,2000000,200.0,0.000599945,3.669694869718229e-07,1.1426539143028854e-10,0.07461
AR200_gap0.001_mu1.0_t11,sustained,1e-05,10,1,55600,5.5600000000000005,-0.00121963,8.105008644700523e-06,2000000,200.0,-0.00117242,6.457166160878373e-06,2.841265633357108e-10,0.138177
AR200_gap0.001_mu1.0_t12,sustained,1e-05,10,1,28900,2.89,-0.000132783,7.839749343577879e-07,2000000,200.0,-3.50133e-05,4.5765557385834927e-07,6.821818031790346e-11,0.0183537
AR200_gap0.001_mu1.0_t13,sustained,1e-05,10,1,113500,11.350000000000001,-0.00152442,4.78477195934319e-07,2000000,200.0,-0.00160257,1.2325017339064488e-06,1.512115438442664e-09,0.0519191
AR200_gap0.001_mu1.0_t14,sustained,1e-05,10,1,33400,3.3400000000000003,0.000304823,8.62834877278697e-06,2000000,200.0,7.76149e-05,1.1784167250652735e-07,2.1579950604780931e-10,0.0822496
AR200_gap0.001_mu1.0_t15,sustained,1e-05,10,1,32200,3.22,0.000240093,8.133235536925506e-06,2000000,200.0,0.000443076,7.846784711444628e-06,1.808191095285337e-11,0.0338001
AR200_gap0.001_mu1.0_t16,sustained,1e-05,10,1,30700,3.0700000000000003,-0.000105942,5.420554276145612e-06,2000000,200.0,-0.309584,1.6517645384630772e-05,4.755446392327106e-08,4.2639704817040425
AR200_gap0.001_mu1.0_t17,sustained,1e-05,10,1,419300,41.93,0.021013,5.767635937464407e-06,2000000,200.0,0.0214752,7.344362607455582e-07,3.3474863691743598e-09,0.088577
AR200_gap0.001_mu1.0_t18,sustained,1e-05,10,1,22500,2.25,-0.00042887,6.619503028983379e-06,2000000,200.0,-5.90541e-05,2.739429949894537e-06,2.8175645541480565e-08,0.0612709
AR200_gap0.001_mu1.0_t19,sustained,1e-05,10,1,31600,3.16,-0.000270555,8.976140009884563e-06,2000000,200.0,-0.00020369,9.652379794673611e-07,4.4362179655065924e-11,0.0153139
AR200_gap0.001_mu1.0_t2,sustained,1e-05,10,1,21700,2.17,-0.000316301,3.1930481481279608e-06,2000000,200.0,0.000518836,5.721914016928018e-06,3.23564001368941e-10,0.130311
AR200_gap0.001_mu1.0_t3,sustained,1e-05,10,1,13100,1.31,-0.000437752,2.3071571080256638e-06,2000000,200.0,0.000420197,4.157324236226352e-05,6.632221817982004e-10,0.0757752
AR200_gap0.001_mu1.0_t4,sustained,1e-05,10,1,16300,1.6300000000000001,0.000128339,3.1993272065537086e-06,2000000,200.0,0.00375129,4.17195270297877e-05,1.4051516291541425e-08,0.127276
AR200_gap0.001_mu1.0_t5,sustained,1e-05,10,1,53200,5.32,0.000389603,8.86307942712078e-06,2000000,200.0,-0.000875937,2.490269476642e-06,1.2955768085955427e-09,0.00996436
AR200_gap0.001_mu1.0_t6,sustained,1e-05,10,1,212700,21.27,-0.264915,8.624060488900934e-06,2000000,200.0,-0.264915,1.3455125829334216e-06,3.93995203932981e-10,2.048974786722754
AR200_gap0.001_mu1.0_t7,sustained,1e-05,10,1,92900,9.290000000000001,-0.000517225,9.119770702507884e-06,2000000,200.0,-0.000522689,7.387678723307495e-08,3.7200016101022543e-09,0.0691528
AR200_gap0.001_mu1.0_t8,sustained,1e-05,10,1,30900,3.0900000000000003,-5.4064e-05,8.475532671245335e-06,2000000,200.0,-0.000499377,5.067098518359521e-06,6.293413797907826e-10,0.0315558
AR200_gap0.001_mu1.0_t9,sustained,1e-05,10,1,286100,28.610000000000003,-0.0548411,8.349119440916748e-06,2000000,200.0,-0.0548357,6.410652414389902e-06,1.8917740002291986e-08,0.197186
AR200_gap0.01_mu0.0_t0,sustained,1e-05,10,0,2000000,200.0,-21.813,0.11061895081871127,2000000,200.0,-21.813,0.11061895081871127,0.0001121584585924984,0.5912222270617389
AR200_gap0.01_mu0.0_t1,sustained,1e-05,10,0,2000000,200.0,6.01594,0.06187126597916169,2000000,200.0,6.01594,0.06187126597916169,8.00744015859306e-05,0.45961497407668295
AR200_gap0.01_mu0.0_t10,sustained,1e-05,10,0,2000000,200.0,-15.1548,0.44842815658547464,2000000,200.0,-15.1548,0.44842815658547464,7.049749246011705e-05,0.5472907434600803
AR200_gap0.01_mu0.0_t11,sustained,1e-05,10,0,2000000,200.0,-26.9785,0.2494949480921514,2000000,200.0,-26.9785,0.2494949480921514,7.828867314985111e-07,0.6098602328984974
AR200_gap0.01_mu0.0_t12,sustained,1e-05,10,0,2000000,200.0,-3.71378,0.17820051834956352,2000000,200.0,-3.71378,0.17820051834956352,3.251232241787208e-05,0.5026146196042458
AR200_gap0.01_mu0.0_t13,sustained,1e-05,10,0,2000000,200.0,10.2537,0.08107807317510603,2000000,200.0,10.2537,0.08107807317510603,2.090961818322634e-06,0.4798201453371439
AR200_gap0.01_mu0.0_t14,sustained,1e-05,10,0,2000000,200.0,16.6455,0.08094718638119558,2000000,200.0,16.6455,0.08094718638119558,9.293928139551821e-07,0.5729743858080254
AR200_gap0.01_mu0.0_t15,sustained,1e-05,10,0,2000000,200.0,6.68995,0.03633313662114785,2000000,200.0,6.68995,0.03633313662114785,2.1901286192435587e-05,0.5434943129108419
AR200_gap0.01_mu0.0_t16,sustained,1e-05,10,0,2000000,200.0,-13.7576,0.01241482103968529,2000000,200.0,-13.7576,0.01241482103968529,5.808594399137057e-06,0.5600249690387634
AR200_gap0.01_mu0.0_t17,sustained,1e-05,10,0,2000000,200.0,-17.6553,0.08972827369043128,2000000,200.0,-17.6553,0.08972827369043128,0.0789680235850996,0.09884577132346441
