frame,rods,integrate_ms,sleep_ms,broadphase_ms,warmstart_ms,buildIslands_ms,solve_ms,floorSolve_ms,posCorrect_ms,pbcWrap_ms,render_ms,contacts,islands
57,100,1.30258,0.145331,85.5315,0.007622,0.125042,0.046378,0,0.001957,0.385291,0.163166,0,0
58,100,1.27954,0.142916,83.1993,0.005333,0.081707,0.017833,0,0.001583,0.37871,0.166583,0,0
59,100,1.29571,0.145626,84.7462,0.007501,0.262042,0.190623,0,0.001915,0.38321,0.169709,0,0
60,100,1.30021,0.145374,85.753,0.004667,0.080537,0.017752,0,0.001581,0.386377,0.1645,0,0
61,100,1.28213,0.143127,83.8769,0.005043,0.094415,0.028421,0,0.001664,0.379082,0.160958,0,0
62,100,1.30804,0.144708,84.4723,0.008623,0.271626,0.198334,0,0.00175,0.384084,0.172042,0,0
63,100,1.39462,0.161168,94.8076,0.01129,0.327582,0.228413,0,0.002626,0.418252,0.191792,0,0
64,100,1.47892,0.161454,124.698,0.00929,0.139623,0.022499,0,0.003252,0.42417,0.199042,0,0
65,100,1.61783,0.162417,92.049,0.015917,0.360417,0.256668,0,0.002334,0.388333,0.324125,0,0
66,100,1.29408,0.142625,83.1735,0.003085,0.085377,0.012128,0,0.001672,0.384127,0.185458,0,0
67,100,1.37975,0.156543,93.2628,0.012913,0.192917,0.095041,0,0.002418,0.410837,0.202208,0,0
68,100,1.33971,0.148459,85.0964,0.01008,0.154123,0.066043,0,0.001795,0.393585,0.178458,0,0
69,100,1.3375,0.148503,83.1499,0.001619,0.073541,0.000955,0,0.001786,0.394834,0.190666,0,0
70,100,1.32471,0.146624,79.4853,0.00646,0.091833,0.018871,0,0.001833,0.389958,0.183083,0,0
71,100,1.33412,0.14763,80.8988,0.006671,0.093084,0.02,0,0.001753,0.393089,0.191042,0,0
72,100,1.36375,0.148249,81.0884,0.006079,0.102289,0.021334,0,0.001956,0.394576,0.190458,0,0
73,100,1.287,0.143544,76.2502,0.005416,0.124586,0.054704,0,0.001666,0.381291,0.168042,0,0
74,100,1.27867,0.142583,74.0425,0.005584,0.086669,0.019082,0,0.001666,0.378501,0.174709,0,0
75,100,1.31246,0.145749,76.6962,0.011169,0.134041,0.052705,0,0.001919,0.386911,0.190708,0,0
76,100,1.32375,0.159254,75.2715,0.004875,0.088542,0.01929,0,0.001668,0.393168,0.179833,0,0
77,100,1.31954,0.146453,74.9398,0.012165,0.149124,0.068127,0,0.001956,0.389161,0.174875,0,0
78,100,1.29663,0.145667,74.6715,0.001625,0.062251,0.001169,0,0.00146,0.386623,0.180334,0,0
79,100,1.30567,0.145583,76.9234,0.010041,0.125629,0.050292,0,0.002046,0.389336,0.175,0,0
80,100,1.31175,0.146537,74.5376,0.001212,0.061708,0.001208,0,0.001497,0.388747,0.171917,0,0
81,100,1.32283,0.147539,75.3608,0.001335,0.060712,0.001081,0,0.001376,0.390252,0.173833,0,0
82,100,1.28825,0.143458,73.5298,0.001498,0.060336,0.00083,0,0.001496,0.382335,0.170834,0,0
83,100,1.32021,0.14675,73.7015,0.005249,0.094584,0.026708,0,0.001915,0.387582,0.182541,0,0
84,100,1.31837,0.14721,73.5575,0.001293,0.062503,0.000917,0,0.001375,0.390587,0.180375,0,0
85,100,1.30492,0.146377,72.4455,0.005753,0.085744,0.019292,0,0.001709,0.386919,0.185334,0,0
86,100,1.29541,0.144956,71.9225,0.001457,0.061333,0.000913,0,0.001497,0.384168,0.172833,0,0
87,100,1.3045,0.146001,73.7472,0.001167,0.060836,0.000915,0,0.001498,0.386956,0.188875,0,0
88,100,1.35929,0.156914,80.5265,0.003707,0.094954,0.012793,0,0.001872,0.403749,0.205125,0,0
89,100,1.34567,0.152416,78.0204,0.002083,0.07808,0.001046,0,0.002124,0.400831,0.179375,0,0
90,100,1.34087,0.148876,76.4417,0.001463,0.072917,0.001166,0,0.001456,0.397499,0.193125,0,0
91,100,1.3025,0.145331,72.8392,0.00625,0.096873,0.019708,0,0.00171,0.386045,0.20475,0,0
92,100,1.34875,0.148705,79.3957,0.014291,0.148372,0.052835,0,0.00246,0.395252,0.1935,0,0
93,100,1.32059,0.14742,74.4046,0.009334,0.271584,0.190915,0,0.001962,0.389628,0.1895,0,0
94,100,1.33612,0.147711,78.979,0.007003,0.120665,0.035627,0,0.002042,0.413876,0.200167,0,0
95,100,1.33317,0.14904,77.5354,0.001249,0.071539,0.00079,0,0.001666,0.392959,0.197458,0,0
96,100,1.36129,0.155417,76.5761,0.001624,0.072875,0.000959,0,0.002082,0.406878,0.183959,0,0
97,100,1.33912,0.148162,75.6038,0.005958,0.101623,0.025082,0,0.001792,0.392916,0.192833,0,0
98,100,1.31938,0.145088,79.542,0.001915,0.072506,0.000835,0,0.00171,0.385504,0.199,0,0
99,100,1.31642,0.166545,73.0102,0.00179,0.075544,0.001079,0,0.001626,0.387788,0.192375,0,0
100,100,1.33575,0.149003,75.943,0.007874,0.096042,0.020002,0,0.001669,0.393295,0.195584,0,0
101,100,1.33342,0.147626,75.0755,0.001371,0.075584,0.001126,0,0.001546,0.390584,0.175125,0,0
102,100,1.29304,0.144665,74.3213,0.005794,0.093457,0.018923,0,0.00175,0.381125,0.201459,0,0
103,100,1.59434,0.176166,86.5499,0.002542,0.090163,0.00104,0,0.002245,0.422293,0.198,0,0
104,100,1.55487,0.156498,82.8195,0.008497,0.116166,0.022707,0,0.002503,0.416588,0.1975,0,0
105,100,1.41921,0.157,82.9892,0.008373,0.114997,0.01946,0,0.002371,0.406789,0.179,0,0
106,100,1.41804,0.158708,91.1766,0.002624,0.091373,0.000959,0,0.001997,0.412455,0.192083,0,0
107,100,1.31454,0.147709,73.2502,0.001294,0.06725,0.001207,0,0.001831,0.388542,0.185625,0,0
108,100,1.31942,0.160915,72.7097,0.009876,0.26729,0.189208,0,0.00221,0.386624,0.188583,0,0
109,100,1.30433,0.147126,71.6059,0.001123,0.062287,0.001207,0,0.001497,0.387501,0.194375,0,0
110,100,1.28458,0.14475,70.0391,0.001164,0.061292,0.000792,0,0.001333,0.381959,0.169375,0,0
111,100,1.29471,0.145789,70.3038,0.001208,0.061378,0.00075,0,0.001336,0.384999,0.173208,0,0
112,100,1.31483,0.148043,72.1081,0.001122,0.063417,0.000921,0,0.001625,0.386749,0.176416,0,0
113,100,1.31454,0.146706,71.1282,0.005832,0.084125,0.018373,0,0.00158,0.38775,0.1785,0,0
114,100,1.30004,0.146248,70.5095,0.005587,0.087746,0.019541,0,0.001789,0.39562,0.175833,0,0
115,100,1.30962,0.147705,71.0708,0.00125,0.060077,0.001124,0,0.001498,0.390248,0.179958,0,0
116,100,1.31012,0.147329,69.6221,0.00525,0.086039,0.018753,0,0.001747,0.385871,0.17125,0,0
117,100,1.31033,0.148251,70.021,0.001415,0.061708,0.000831,0,0.00146,0.387963,0.182792,0,0
118,100,1.32275,0.14733,70.8112,0.001374,0.060874,0.000913,0,0.00154,0.388416,0.177125,0,0
119,100,1.28963,0.145003,69.9007,0.001202,0.062164,0.001207,0,0.001539,0.382127,0.183792,0,0
120,100,1.32325,0.147537,71.3329,0.001293,0.062914,0.001,0,0.00108,0.388913,0.177125,0,0
121,100,1.30754,0.147416,70.9572,0.001292,0.06283,0.001286,0,0.001534,0.387663,0.182083,0,0
122,100,1.30917,0.147331,69.7433,0.001206,0.061498,0.000919,0,0.001419,0.38696,0.186959,0,0
123,100,1.31338,0.147957,71.5474,0.001293,0.066916,0.000833,0,0.001374,0.387961,0.207666,0,0
124,100,1.31304,0.147374,68.8996,0.001168,0.062418,0.001001,0,0.0015,0.403085,0.174875,0,0
