run_name,N,AR,seed_id,metric,rod,mu,num_samples,final_frame,final_time,final_displacement,final_path_length,final_orientation_change_deg,max_displacement,max_path_length,max_orientation_change_deg
20260403-112108_N1000_117_696_524_AR1000_MaxFSA_rod784,1000,1000,117_696_524,MaxFSA,784,0.0,300,299,0.299,0.023062578899594025,0.023884937302038178,0.19449262452561933,0.023062578899594025,0.023884937302038178,0.3169483550200785
20260403-112108_N1000_117_696_524_AR1000_MaxFSA_rod784,1000,1000,117_696_524,MaxFSA,784,0.1,300,299,0.299,4.5216811033077444e-05,0.00022139095380062734,0.13951749055632487,6.250537976849787e-05,0.00022139095380062734,0.14426852615063526
20260403-112108_N1000_117_696_524_AR1000_MaxFSA_rod784,1000,1000,117_696_524,MaxFSA,784,0.2,300,299,0.299,3.4941522577026814e-05,0.0001847822007280543,0.1454783742149848,4.969909455916788e-05,0.0001847822007280543,0.14869511181492598
20260403-112108_N1000_117_696_524_AR1000_MaxFSA_rod784,1000,1000,117_696_524,MaxFSA,784,0.4,300,299,0.299,3.1689903755022324e-05,0.00015464141401793467,0.13870718981375596,4.0458126501377066e-05,0.00015464141401793467,0.14106217308268393
20260403-112108_N1000_117_696_524_AR1000_MaxFSA_rod784,1000,1000,117_696_524,MaxFSA,784,1.0,300,299,0.299,2.0856413881586767e-05,0.00018653294218206652,0.11530369170770567,4.356305774390084e-05,0.00018653294218206652,0.11832029957694355
20260403-112108_N1000_117_696_524_AR1000_MaxFTA_rod538,1000,1000,117_696_524,MaxFTA,538,0.0,300,299,0.299,0.03131067234809882,0.03135410926822069,0.03217298817095771,0.03131067234809882,0.03135410926822069,0.033098084055147116
20260403-112108_N1000_117_696_524_AR1000_MaxFTA_rod538,1000,1000,117_696_524,MaxFTA,538,0.1,300,299,0.299,4.7374412925141e-05,0.00015730712507863232,0.009103613207330137,4.7400975728373376e-05,0.00015730712507863232,0.012536984378108545
20260403-112108_N1000_117_696_524_AR1000_MaxFTA_rod538,1000,1000,117_696_524,MaxFTA,538,0.2,300,299,0.299,4.8055852921367275e-05,0.00016339384085730708,0.004359098520932,4.842883954834921e-05,0.00016339384085730708,0.012800994654114141
20260403-112108_N1000_117_696_524_AR1000_MaxFTA_rod538,1000,1000,117_696_524,MaxFTA,538,0.4,300,299,0.299,4.919781499213376e-05,0.00015363971078605952,0.0019496418010677764,4.919781499213376e-05,0.00015363971078605952,0.012939567768746732
20260403-112108_N1000_117_696_524_AR1000_MaxFTA_rod538,1000,1000,117_696_524,MaxFTA,538,1.0,300,299,0.299,4.0009530114708745e-05,0.00014693188638916833,0.00797780344932581,4.0009530114708745e-05,0.00014693188638916833,0.013730817824202598
20260403-112108_N1000_117_696_524_AR1000_MinFSA_rod689,1000,1000,117_696_524,MinFSA,689,0.0,300,299,0.299,0.020104006596944793,0.02011860680980964,0.020465470318019086,0.020104006596944793,0.02011860680980964,0.020497157621030493
20260403-112108_N1000_117_696_524_AR1000_MinFSA_rod689,1000,1000,117_696_524,MinFSA,689,0.1,300,299,0.299,6.20523972139602e-05,0.00011099763431516361,0.00819826603130789,6.217113478134948e-05,0.00011099763431516361,0.01111093883927781
20260403-112108_N1000_117_696_524_AR1000_MinFSA_rod689,1000,1000,117_696_524,MinFSA,689,0.2,300,299,0.299,4.490267252625758e-05,9.536166487184917e-05,0.007605610110311223,4.679209334918618e-05,9.536166487184917e-05,0.010368769310538279
20260403-112108_N1000_117_696_524_AR1000_MinFSA_rod689,1000,1000,117_696_524,MinFSA,689,0.4,300,299,0.299,4.605702986515961e-05,9.64604251799034e-05,0.008491550543245897,4.85849771019857e-05,9.64604251799034e-05,0.010763826918753206
20260403-112108_N1000_117_696_524_AR1000_MinFSA_rod689,1000,1000,117_696_524,MinFSA,689,1.0,300,299,0.299,5.380752735446039e-05,0.00010639036074529283,0.009952471120292499,5.521322305388793e-05,0.00010639036074529283,0.010532140087714057
20260403-112108_N1000_117_696_524_AR1000_MinFTA_rod689,1000,1000,117_696_524,MinFTA,689,0.0,300,299,0.299,0.020104006596944793,0.02011860680980964,0.020465470318019086,0.020104006596944793,0.02011860680980964,0.020497157621030493
20260403-112108_N1000_117_696_524_AR1000_MinFTA_rod689,1000,1000,117_696_524,MinFTA,689,0.1,300,299,0.299,6.20523972139602e-05,0.00011099763431516361,0.00819826603130789,6.217113478134948e-05,0.00011099763431516361,0.01111093883927781
20260403-112108_N1000_117_696_524_AR1000_MinFTA_rod689,1000,1000,117_696_524,MinFTA,689,0.2,300,299,0.299,4.490267252625758e-05,9.536166487184917e-05,0.007605610110311223,4.679209334918618e-05,9.536166487184917e-05,0.010368769310538279
20260403-112108_N1000_117_696_524_AR1000_MinFTA_rod689,1000,1000,117_696_524,MinFTA,689,0.4,300,299,0.299,4.605702986515961e-05,9.64604251799034e-05,0.008491550543245897,4.85849771019857e-05,9.64604251799034e-05,0.010763826918753206
20260403-112108_N1000_117_696_524_AR1000_MinFTA_rod689,1000,1000,117_696_524,MinFTA,689,1.0,300,299,0.299,5.380752735446039e-05,0.00010639036074529283,0.009952471120292499,5.521322305388793e-05,0.00010639036074529283,0.010532140087714057
20260403-112108_N1000_117_696_524_AR100_MaxFSA_rod779,1000,100,117_696_524,MaxFSA,779,0.0,300,299,0.299,0.04515225396920954,0.04515241317937563,7.489786154017147,0.04515225396920954,0.04515241317937563,7.489786154017147
20260403-112108_N1000_117_696_524_AR100_MaxFSA_rod779,1000,100,117_696_524,MaxFSA,779,0.1,300,299,0.299,0.04515225396920954,0.04515241317937563,7.489786154017147,0.04515225396920954,0.04515241317937563,7.489786154017147
20260403-112108_N1000_117_696_524_AR100_MaxFSA_rod779,1000,100,117_696_524,MaxFSA,779,0.2,300,299,0.299,0.04515225396920954,0.04515241317937563,7.489786154017147,0.04515225396920954,0.04515241317937563,7.489786154017147
20260403-112108_N1000_117_696_524_AR100_MaxFSA_rod779,1000,100,117_696_524,MaxFSA,779,0.4,300,299,0.299,0.04515225396920954,0.04515241317937563,7.489786154017147,0.04515225396920954,0.04515241317937563,7.489786154017147
20260403-112108_N1000_117_696_524_AR100_MaxFSA_rod779,1000,100,117_696_524,MaxFSA,779,1.0,300,299,0.299,0.04515225396920954,0.04515241317937563,7.489786154017147,0.04515225396920954,0.04515241317937563,7.489786154017147
20260403-112108_N1000_117_696_524_AR100_MaxFTA_rod779,1000,100,117_696_524,MaxFTA,779,0.0,300,299,0.299,0.04515225396920954,0.04515241317937563,7.489786154017147,0.04515225396920954,0.04515241317937563,7.489786154017147
20260403-112108_N1000_117_696_524_AR100_MaxFTA_rod779,1000,100,117_696_524,MaxFTA,779,0.1,300,299,0.299,0.04515225396920954,0.04515241317937563,7.489786154017147,0.04515225396920954,0.04515241317937563,7.489786154017147
20260403-112108_N1000_117_696_524_AR100_MaxFTA_rod779,1000,100,117_696_524,MaxFTA,779,0.2,300,299,0.299,0.04515225396920954,0.04515241317937563,7.489786154017147,0.04515225396920954,0.04515241317937563,7.489786154017147
20260403-112108_N1000_117_696_524_AR100_MaxFTA_rod779,1000,100,117_696_524,MaxFTA,779,0.4,300,299,0.299,0.04515225396920954,0.04515241317937563,7.489786154017147,0.04515225396920954,0.04515241317937563,7.489786154017147
20260403-112108_N1000_117_696_524_AR100_MaxFTA_rod779,1000,100,117_696_524,MaxFTA,779,1.0,300,299,0.299,0.04515225396920954,0.04515241317937563,7.489786154017147,0.04515225396920954,0.04515241317937563,7.489786154017147
20260403-112108_N1000_117_696_524_AR100_MinFSA_rod113,1000,100,117_696_524,MinFSA,113,0.0,300,299,0.299,0.06311657030536516,0.08008004217423954,0.06148422157117078,0.07157794475279447,0.08008004217423954,0.062404934186331563
20260403-112108_N1000_117_696_524_AR100_MinFSA_rod113,1000,100,117_696_524,MinFSA,113,0.1,300,299,0.299,0.0001303655894015015,0.00018012272337491973,0.03608910413101081,0.0001330833483197619,0.00018012272337491973,0.03716643194124985
20260403-112108_N1000_117_696_524_AR100_MinFSA_rod113,1000,100,117_696_524,MinFSA,113,0.2,300,299,0.299,0.00013180713334262102,0.00016570658793775951,0.03620334008625816,0.00013293295537602164,0.00016570658793775951,0.03683982692088631
20260403-112108_N1000_117_696_524_AR100_MinFSA_rod113,1000,100,117_696_524,MinFSA,113,0.4,300,299,0.299,0.00012795401801037068,0.00017388885942655268,0.03503203996637727,0.00012935769217561102,0.00017388885942655268,0.03566954801447695
20260403-112108_N1000_117_696_524_AR100_MinFSA_rod113,1000,100,117_696_524,MinFSA,113,1.0,300,299,0.299,0.00013272840539990563,0.00019155126722527545,0.03691785812910535,0.00013400639620928298,0.00019155126722527545,0.03735354726439401
20260403-112108_N1000_117_696_524_AR100_MinFTA_rod113,1000,100,117_696_524,MinFTA,113,0.0,300,299,0.299,0.06311657030536516,0.08008004217423954,0.06148422157117078,0.07157794475279447,0.08008004217423954,0.062404934186331563
20260403-112108_N1000_117_696_524_AR100_MinFTA_rod113,1000,100,117_696_524,MinFTA,113,0.1,300,299,0.299,0.0001303655894015015,0.00018012272337491973,0.03608910413101081,0.0001330833483197619,0.00018012272337491973,0.03716643194124985
20260403-112108_N1000_117_696_524_AR100_MinFTA_rod113,1000,100,117_696_524,MinFTA,113,0.2,300,299,0.299,0.00013180713334262102,0.00016570658793775951,0.03620334008625816,0.00013293295537602164,0.00016570658793775951,0.03683982692088631
20260403-112108_N1000_117_696_524_AR100_MinFTA_rod113,1000,100,117_696_524,MinFTA,113,0.4,300,299,0.299,0.00012795401801037068,0.00017388885942655268,0.03503203996637727,0.00012935769217561102,0.00017388885942655268,0.03566954801447695
